month,value_ZJ,uncertainty_ZJ
2004-01,10.554919,9.844244
2004-02,-1.300703,9.844244
2004-03,45.932838,9.844244
2004-04,46.133739,9.844244
2004-05,24.032481,9.844244
2004-06,-1.090633,9.844244
2004-07,-22.948932,9.844244
2004-08,-42.113361,9.844244
2004-09,-60.733658,9.844244
2004-10,-34.797346,9.844244
2004-11,-31.959330,9.844244
2004-12,-18.324758,9.844244
2005-01,-23.972722,9.844244
2005-02,5.923469,9.844244
2005-03,10.138475,9.844244
2005-04,-12.876750,9.844244
2005-05,-11.807148,9.844244
2005-06,-11.586956,9.844244
2005-07,-67.580966,9.844244
2005-08,-94.124412,9.844244
2005-09,-82.346393,9.844244
2005-10,-88.979783,9.844244
2005-11,-63.970529,9.844244
2005-12,-12.779892,9.844244
2006-01,3.608421,9.844244
2006-02,6.248463,9.844244
2006-03,-17.729065,9.844244
2006-04,4.215319,9.844244
2006-05,-12.980101,9.844244
2006-06,-6.302280,9.844244
2006-07,-59.324091,9.844244
2006-08,-64.629132,9.844244
2006-09,-66.737862,9.844244
2006-10,-60.383116,9.844244
2006-11,-30.369540,9.844244
2006-12,-20.723078,9.844244
2007-01,-4.874871,9.844244
2007-02,4.938929,9.844244
2007-03,-6.256819,9.844244
2007-04,-15.045270,9.844244
2007-05,-26.497876,9.844244
2007-06,-52.256774,9.844244
2007-07,-60.700563,9.844244
2007-08,-94.594830,9.844244
2007-09,-88.612450,9.844244
2007-10,-88.961114,9.844244
2007-11,-52.619533,9.844244
2007-12,-37.832492,9.844244
2008-01,-31.609560,9.844244
2008-02,-15.435946,9.844244
2008-03,15.271794,9.844244
2008-04,0.570066,9.844244
2008-05,7.428015,9.844244
2008-06,-30.948573,9.844244
2008-07,-28.168637,9.844244
2008-08,-63.949863,9.844244
2008-09,-69.343992,9.844244
2008-10,-82.111781,9.844244
2008-11,-59.973058,9.844244
2008-12,-55.911425,9.844244
2009-01,-25.094720,9.844244
2009-02,-13.738063,9.844244
2009-03,12.766042,9.844244
2009-04,8.243134,9.844244
2009-05,3.999021,9.844244
2009-06,-19.455136,9.844244
2009-07,-54.336216,9.844244
2009-08,-69.212806,9.844244
2009-09,-63.642782,9.844244
2009-10,-53.203545,9.844244
2009-11,-38.235460,9.844244
2009-12,-10.185055,9.844244
2010-01,-13.763492,9.844244
2010-02,-13.093231,9.844244
2010-03,2.305357,9.844244
2010-04,3.531609,9.844244
2010-05,-25.663114,9.844244
2010-06,-18.613800,9.844244
2010-07,-39.698202,9.844244
2010-08,-64.210533,9.844244
2010-09,-63.213366,9.844244
2010-10,-42.394507,9.844244
2010-11,-26.064462,9.844244
2010-12,-22.905321,9.844244
2011-01,-22.720805,9.844244
2011-02,-2.035958,9.844244
2011-03,17.221262,9.844244
2011-04,26.982996,9.844244
2011-05,22.475278,9.844244
2011-06,-29.776945,9.844244
2011-07,-28.556454,9.844244
2011-08,-32.252935,9.844244
2011-09,-37.180703,9.844244
2011-10,-58.119686,9.844244
2011-11,-39.184178,9.844244
2011-12,-20.314737,9.844244
2012-01,-6.086117,9.844244
2012-02,18.220276,9.844244
2012-03,21.462798,9.844244
2012-04,29.148333,9.844244
2012-05,17.448884,9.844244
2012-06,-18.596548,9.844244
2012-07,-59.075484,9.844244
2012-08,-66.212903,9.844244
2012-09,-58.283585,9.844244
2012-10,-47.617277,9.844244
2012-11,-21.669924,9.844244
2012-12,-8.652768,9.844244
2013-01,39.127640,9.844244
2013-02,43.528132,9.844244
2013-03,57.462147,9.844244
2013-04,40.761863,9.844244
2013-05,24.162212,9.844244
2013-06,12.283358,9.844244
2013-07,-27.574065,9.844244
2013-08,-33.079847,9.844244
2013-09,-31.225723,9.844244
2013-10,-8.685675,9.844244
2013-11,11.182256,9.844244
2013-12,35.788938,9.844244
2014-01,42.094692,9.844244
2014-02,51.864873,9.844244
2014-03,48.836063,9.844244
2014-04,63.288515,9.844244
2014-05,59.271141,9.844244
2014-06,45.210435,9.844244
2014-07,10.623173,9.844244
2014-08,-17.934027,9.844244
2014-09,-25.864266,9.844244
2014-10,-12.151961,9.844244
2014-11,-9.864102,9.844244
2014-12,25.255197,9.844244
2015-01,31.453589,9.844244
2015-02,60.105728,9.844244
2015-03,82.117210,9.844244
2015-04,88.798648,9.844244
2015-05,88.796227,9.844244
2015-06,47.406263,9.844244
2015-07,23.393291,9.844244
2015-08,13.844992,9.844244
2015-09,2.588354,9.844244
2015-10,10.506750,9.844244
2015-11,17.148516,9.844244
2015-12,45.326313,9.844244
2016-01,51.988841,9.844244
2016-02,67.736835,9.844244
2016-03,97.301539,9.844244
2016-04,82.039520,9.844244
2016-05,68.369500,9.844244
2016-06,34.581900,9.844244
2016-07,-2.815901,9.844244
2016-08,-22.365460,9.844244
2016-09,-11.557445,9.844244
2016-10,-12.999800,9.844244
2016-11,22.079379,9.844244
2016-12,42.247039,9.844244
2017-01,71.170125,9.844244
2017-02,84.647683,9.844244
2017-03,84.787531,9.844244
2017-04,98.289667,9.844244
2017-05,86.728532,9.844244
2017-06,61.708003,9.844244
2017-07,47.366926,9.844244
2017-08,21.759341,9.844244
