month,value_mm,uncertainty_mm
2005-01,17.836799,2.163159
2005-02,17.405749,2.163159
2005-03,15.073294,2.163159
2005-04,12.745078,2.163159
2005-05,13.365882,2.163159
2005-06,14.223621,2.163159
2005-07,15.979179,2.163159
2005-08,20.162142,2.163159
2005-09,24.761776,2.163159
2005-10,27.680761,2.163159
2005-11,29.481028,2.163159
2005-12,26.422236,2.163159
2006-01,21.517664,2.163159
2006-02,17.849221,2.163159
2006-03,15.838911,2.163159
2006-04,14.630625,2.163159
2006-05,15.056418,2.163159
2006-06,16.322728,2.163159
2006-07,20.834021,2.163159
2006-08,21.321378,2.163159
2006-09,29.698496,2.163159
2006-10,31.257040,2.163159
2006-12,26.556156,2.163159
2007-01,22.743469,2.163159
2007-02,18.972565,2.163159
2007-03,20.017197,2.163159
2007-04,19.286988,2.163159
2007-05,17.511447,2.163159
2007-06,16.873278,2.163159
2007-07,19.444689,2.163159
2007-08,22.822510,2.163159
2007-09,26.584591,2.163159
2007-10,29.543900,2.163159
2007-11,32.038478,2.163159
2007-12,28.211078,2.163159
2008-01,25.249172,2.163159
2008-02,22.513667,2.163159
2008-03,21.705710,2.163159
2008-04,20.691660,2.163159
2008-05,22.602530,2.163159
2008-06,23.078073,2.163159
2008-07,24.954793,2.163159
2008-08,27.878593,2.163159
2008-09,30.950305,2.163159
2008-10,34.410726,2.163159
2008-11,34.197564,2.163159
2008-12,32.656044,2.163159
2009-01,27.313407,2.163159
2009-02,25.450540,2.163159
2009-03,24.888084,2.163159
2009-04,24.123413,2.163159
2009-05,22.753436,2.163159
2009-06,25.210377,2.163159
2009-07,26.943538,2.163159
2009-08,32.456676,2.163159
2009-09,37.985027,2.163159
2009-10,41.116655,2.163159
2009-11,40.249338,2.163159
2009-12,37.099479,2.163159
2010-01,33.138704,2.163159
2010-02,30.534913,2.163159
2010-03,29.207629,2.163159
2010-04,26.715299,2.163159
2010-05,27.951746,2.163159
2010-06,29.546479,2.163159
2010-07,31.915921,2.163159
2010-08,32.934359,2.163159
2010-09,35.786500,2.163159
2010-10,38.871170,2.163159
2010-11,38.972033,2.163159
2010-12,35.011745,2.163159
2011-01,32.842829,2.163159
2011-02,26.835211,2.163159
2011-03,25.154192,2.163159
2011-04,22.902713,2.163159
2011-05,23.024910,2.163159
2011-06,26.414677,2.163159
2011-07,29.082882,2.163159
2011-08,33.988801,2.163159
2011-09,38.731474,2.163159
2011-10,42.572539,2.163159
2011-11,40.838028,2.163159
2011-12,40.300832,2.163159
2012-01,39.368522,2.163159
2012-02,36.961419,2.163159
2012-03,34.511853,2.163159
2012-04,33.782050,2.163159
2012-05,34.307993,2.163159
2012-06,37.058699,2.163159
2012-07,40.611149,2.163159
2012-08,43.325083,2.163159
2012-09,47.939082,2.163159
2012-10,53.036116,2.163159
2012-11,51.262233,2.163159
2012-12,50.315898,2.163159
2013-01,46.665057,2.163159
2013-02,44.190863,2.163159
2013-03,43.009485,2.163159
2013-04,40.584635,2.163159
2013-05,39.030104,2.163159
2013-06,38.609777,2.163159
2013-07,40.494002,2.163159
2013-08,43.748954,2.163159
2013-09,49.684991,2.163159
2013-10,52.625470,2.163159
2013-11,51.179621,2.163159
2013-12,48.574320,2.163159
2014-01,46.106581,2.163159
2014-02,44.764577,2.163159
2014-03,43.009282,2.163159
2014-04,40.314182,2.163159
2014-05,38.446737,2.163159
2014-06,41.717296,2.163159
2014-07,45.691497,2.163159
2014-08,50.163598,2.163159
2014-09,54.307389,2.163159
2014-10,57.761155,2.163159
2014-11,55.362757,2.163159
2014-12,55.323305,2.163159
2015-01,53.288134,2.163159
2015-02,52.509540,2.163159
2015-03,50.094381,2.163159
2015-04,48.905790,2.163159
2015-05,48.409568,2.163159
2015-06,49.741032,2.163159
2015-07,55.558933,2.163159
2015-08,59.925121,2.163159
2015-09,65.564830,2.163159
2015-10,68.394452,2.163159
2015-11,66.087539,2.163159
2015-12,62.271917,2.163159
2016-01,60.835813,2.163159
2016-02,59.979640,2.163159
2016-03,58.227698,2.163159
2016-04,55.935879,2.163159
2016-05,54.390380,2.163159
2016-06,56.900492,2.163159
2016-07,58.089258,2.163159
2016-08,59.457604,2.163159
2016-09,65.942915,2.163159
2016-10,67.812755,2.163159
2016-11,69.366418,2.163159
2016-12,66.997091,2.163159
2017-01,61.185916,2.163159
2017-02,57.566705,2.163159
2017-03,57.676621,2.163159
2017-04,56.425960,2.163159
2017-05,53.403734,2.163159
2017-06,55.566851,2.163159
2017-07,58.732884,2.163159
2017-08,64.746948,2.163159
2017-09,67.266348,2.163159
2017-10,70.375112,2.163159
2017-11,71.127925,2.163159
2017-12,69.831704,2.163159
2018-01,63.835476,2.163159
2018-02,60.722421,2.163159
2018-03,59.281578,2.163159
2018-04,57.402669,2.163159
2018-05,56.897392,2.163159
2018-06,58.529984,2.163159
2018-07,61.819855,2.163159
2018-08,65.674304,2.163159
2018-09,71.550656,2.163159
2018-10,75.255903,2.163159
2018-11,74.390862,2.163159
2018-12,70.477935,2.163159
2019-01,68.880369,2.163159
2019-02,67.403066,2.163159
2019-03,66.377673,2.163159
2019-04,64.059474,2.163159
2019-05,65.281898,2.163159
2019-06,65.016961,2.163159
2019-07,68.656394,2.163159
2019-08,73.958314,2.163159
2019-09,79.174875,2.163159
2019-10,79.610414,2.163159
2019-11,80.271045,2.163159
2019-12,76.188383,2.163159
2020-01,71.995596,2.163159
2020-03,67.786689,2.163159
2020-04,66.691912,2.163159
2020-05,67.916395,2.163159
2020-06,68.777140,2.163159
2020-07,72.063348,2.163159
2020-08,74.568311,2.163159
2020-09,80.545852,2.163159
2020-10,84.488145,2.163159
2020-11,83.222607,2.163159
2020-12,78.864008,2.163159
2021-01,78.749359,2.163159
2021-02,74.634360,2.163159
2021-03,71.063789,2.163159
2021-04,72.986280,2.163159
2021-05,71.199171,2.163159
2021-06,72.296070,2.163159
2021-07,76.150431,2.163159
2021-08,80.984001,2.163159
2021-09,85.768326,2.163159
2021-10,88.657464,2.163159
2021-11,86.917704,2.163159
2021-12,83.659291,2.163159
2022-01,81.375601,2.163159
2022-02,77.926619,2.163159
2022-03,74.504475,2.163159
2022-04,74.835251,2.163159
2022-05,72.980110,2.163159
2022-06,75.464149,2.163159
2022-07,79.009118,2.163159
2022-08,81.796861,2.163159
2022-09,87.168017,2.163159
2022-10,90.784851,2.163159
2022-11,87.335947,2.163159
2022-12,88.158170,2.163159
2023-01,84.949633,2.163159
2023-02,81.008830,2.163159
2023-03,78.045694,2.163159
2023-04,76.184726,2.163159
2023-05,78.559958,2.163159
2023-06,80.548162,2.163159
2023-07,84.290308,2.163159
2023-08,90.801470,2.163159
2023-09,94.162294,2.163159
2023-10,100.005941,2.163159
2023-11,95.466261,2.163159
2023-12,93.438146,2.163159
2024-01,92.628219,2.163159
2024-02,88.979075,2.163159
2024-03,88.400445,2.163159
2024-04,83.823829,2.163159
2024-05,85.138483,2.163159
2024-06,85.458931,2.163159
2024-07,86.728880,2.163159
2024-08,88.819984,2.163159
2024-09,94.213235,2.163159
2024-10,97.268367,2.163159
2024-11,98.301610,2.163159
2024-12,96.714022,2.163159
2025-01,93.391906,2.163159
2025-02,88.870894,2.163159
2025-03,87.619877,2.163159
2025-04,83.848349,2.163159
2025-05,85.235593,2.163159
2025-06,84.646607,2.163159
2025-07,88.225150,2.163159
2025-08,91.205526,2.163159
2025-09,95.774357,2.163159
2025-10,99.522426,2.163159
2025-11,101.448482,2.163159
2025-12,97.176231,2.163159
2026-01,92.599003,2.163159
2026-02,89.683176,2.163159
2026-03,87.303337,2.163159
2026-04,84.327180,2.163159
2026-05,87.117432,2.163159
2026-06,88.739260,2.163159
2026-07,91.970137,2.163159
2026-08,96.555591,2.163159
