month,value_mm,uncertainty_mm
2002-04,-12.164633,0.756053
2002-05,-17.731318,0.420581
2002-08,5.358275,0.364730
2002-09,2.918788,0.435562
2002-10,-1.896820,0.327119
2002-11,-2.376327,0.326926
2002-12,-5.863700,0.347600
2003-01,-11.176061,0.417015
2003-02,-10.414573,0.348300
2003-03,-9.812607,0.318318
2003-04,-8.874032,0.313279
2003-05,-9.095765,0.332135
2003-07,2.321260,0.277441
2003-08,6.512246,0.283680
2003-09,3.784834,0.281722
2003-10,5.106482,0.285482
2003-11,-0.770477,0.288216
2003-12,-5.986417,0.282412
2004-01,-9.442952,0.319939
2004-02,-12.975507,0.291512
2004-03,-10.707409,0.279403
2004-04,-10.774768,0.283842
2004-05,-10.375956,0.294680
2004-06,-5.998453,0.292888
2004-07,4.828042,0.276535
2004-08,5.720503,0.291636
2004-09,3.898979,0.300102
2004-10,3.845313,0.279762
2004-11,-0.431114,0.299741
2004-12,-9.688604,0.366826
2005-01,-13.033193,0.341476
2005-02,-14.080663,0.296364
2005-03,-11.101831,0.297750
2005-04,-8.843791,0.294519
2005-05,-9.370104,0.300568
2005-06,2.117517,0.304299
2005-07,6.414775,0.292201
2005-08,10.772901,0.292029
2005-09,7.290551,0.290793
2005-10,5.437772,0.285901
2005-11,2.501908,0.289346
2005-12,-9.447516,0.334849
2006-01,-8.392985,0.302059
2006-02,-8.760883,0.299971
2006-03,-9.399513,0.291772
2006-04,-9.934640,0.290241
2006-05,-7.236831,0.286896
2006-06,-2.792164,0.306418
2006-07,9.662844,0.301339
2006-08,8.174021,0.284727
2006-09,9.509727,0.300340
2006-10,10.647232,0.292623
2006-11,1.133497,0.288209
2006-12,-4.102650,0.297600
2007-01,-10.154144,0.299821
2007-02,-6.282772,0.294572
2007-03,-11.101525,0.287852
2007-04,-9.248101,0.289352
2007-05,-6.660227,0.286391
2007-06,1.333831,0.290271
2007-07,6.307290,0.286666
2007-08,11.230068,0.302140
2007-09,9.455015,0.303183
2007-10,7.691766,0.304930
2007-11,5.308704,0.310404
2007-12,1.937678,0.299463
2008-01,-4.586900,0.294460
2008-02,-6.795370,0.310430
2008-03,-5.611706,0.296017
2008-04,-6.851926,0.310355
2008-05,-3.977530,0.301715
2008-06,5.184157,0.292115
2008-07,12.362359,0.298533
2008-08,17.361836,0.292759
2008-09,12.790360,0.293634
2008-10,11.919519,0.289253
2008-11,8.769593,0.304742
2008-12,0.963515,0.301903
2009-01,-4.166436,0.299817
2009-02,-1.932690,0.306596
2009-03,-3.951537,0.308066
2009-04,-5.525718,0.289066
2009-05,-3.327098,0.289075
2009-06,4.249730,0.295105
2009-07,10.102419,0.314963
2009-08,15.115314,0.306268
2009-09,15.697505,0.301636
2009-10,15.136333,0.309455
2009-11,9.829131,0.310104
2009-12,2.363500,0.311095
2010-01,-6.553359,0.310242
2010-02,-2.307194,0.332149
2010-03,0.492732,0.347654
2010-04,-0.015395,0.309076
2010-05,3.557392,0.310091
2010-06,12.328816,0.344648
