month,value_mm,uncertainty_mm
2004-01,0.350316,2.063797
2004-02,0.085531,2.063797
2004-03,6.645376,2.063797
2004-04,7.142558,2.063797
2004-05,4.073159,2.063797
2004-06,-0.095533,2.063797
2004-07,-3.260407,2.063797
2004-08,-5.601420,2.063797
2004-09,-5.837590,2.063797
2004-10,-2.511273,2.063797
2004-11,-4.161860,2.063797
2004-12,-2.604197,2.063797
2005-01,-2.192004,2.063797
2005-02,0.619498,2.063797
2005-03,2.395215,2.063797
2005-04,-0.387886,2.063797
2005-05,1.479377,2.063797
2005-06,-0.439806,2.063797
2005-07,-8.873111,2.063797
2005-08,-11.512369,2.063797
2005-09,-8.689590,2.063797
2005-10,-8.690022,2.063797
2005-11,-7.514917,2.063797
2005-12,-1.476841,2.063797
2006-01,0.299580,2.063797
2006-02,1.390416,2.063797
2006-03,0.591475,2.063797
2006-04,3.644424,2.063797
2006-05,0.938284,2.063797
2006-06,0.162316,2.063797
2006-07,-8.201730,2.063797
2006-08,-8.412119,2.063797
2006-09,-6.653356,2.063797
2006-10,-5.420968,2.063797
2006-11,-1.681381,2.063797
2006-12,-1.059962,2.063797
2007-01,-0.759335,2.063797
2007-02,1.259843,2.063797
2007-03,1.620480,2.063797
2007-04,0.919522,2.063797
2007-05,-0.252217,2.063797
2007-06,-5.166334,2.063797
2007-07,-7.706964,2.063797
2007-08,-12.120840,2.063797
2007-09,-10.624161,2.063797
2007-10,-9.856876,2.063797
2007-11,-6.587498,2.063797
2007-12,-5.831204,2.063797
2008-01,-4.006767,2.063797
2008-02,-1.185833,2.063797
2008-03,2.964832,2.063797
2008-04,2.651341,2.063797
2008-05,3.611255,2.063797
2008-06,-1.120619,2.063797
2008-07,-2.245353,2.063797
2008-08,-7.640868,2.063797
2008-09,-7.845578,2.063797
2008-10,-8.564541,2.063797
2008-11,-5.365189,2.063797
2008-12,-5.577320,2.063797
2009-01,-1.319060,2.063797
2009-02,0.196456,2.063797
2009-03,5.071002,2.063797
2009-04,5.300417,2.063797
2009-05,4.177756,2.063797
2009-06,-0.039870,2.063797
2009-07,-4.396008,2.063797
2009-08,-7.509406,2.063797
2009-09,-6.408148,2.063797
2009-10,-3.933337,2.063797
2009-11,-2.111086,2.063797
2009-12,-0.148962,2.063797
2010-01,-0.310290,2.063797
2010-02,1.410468,2.063797
2010-03,4.624226,2.063797
2010-04,4.536831,2.063797
2010-05,1.293232,2.063797
2010-06,-0.265081,2.063797
2010-07,-4.548807,2.063797
2010-08,-8.710734,2.063797
2010-09,-8.637700,2.063797
2010-10,-6.081831,2.063797
2010-11,-2.983805,2.063797
2010-12,-3.727001,2.063797
2011-01,-3.626642,2.063797
2011-02,-0.242871,2.063797
2011-03,4.260687,2.063797
2011-04,5.839090,2.063797
2011-05,4.574007,2.063797
2011-06,-2.299489,2.063797
2011-07,-4.530568,2.063797
2011-08,-5.082574,2.063797
2011-09,-4.969349,2.063797
2011-10,-6.232522,2.063797
2011-11,-2.450488,2.063797
2011-12,-2.507873,2.063797
2012-01,0.664451,2.063797
2012-02,4.749662,2.063797
2012-03,6.313402,2.063797
2012-04,7.318201,2.063797
2012-05,6.428178,2.063797
2012-06,0.666438,2.063797
2012-07,-4.342561,2.063797
2012-08,-5.427689,2.063797
2012-09,-4.664185,2.063797
2012-10,-2.792131,2.063797
2012-11,-0.603503,2.063797
2012-12,1.149887,2.063797
2013-01,4.978645,2.063797
2013-02,5.843280,2.063797
2013-03,9.222064,2.063797
2013-04,8.205621,2.063797
2013-05,5.946492,2.063797
2013-06,3.254697,2.063797
2013-07,-3.180623,2.063797
2013-08,-3.664109,2.063797
2013-09,-3.084467,2.063797
2013-10,-1.187755,2.063797
2013-11,2.348877,2.063797
2013-12,3.888570,2.063797
2014-01,5.235238,2.063797
2014-02,7.246183,2.063797
2014-03,9.841715,2.063797
2014-04,11.423390,2.063797
2014-05,10.508940,2.063797
2014-06,6.817156,2.063797
2014-07,2.074746,2.063797
2014-08,-0.755103,2.063797
2014-09,-0.765153,2.063797
2014-10,1.196088,2.063797
2014-11,0.232625,2.063797
2014-12,4.039288,2.063797
2015-01,5.227112,2.063797
2015-02,8.653273,2.063797
2015-03,13.455709,2.063797
2015-04,14.430802,2.063797
2015-05,13.986295,2.063797
2015-06,8.726940,2.063797
2015-07,5.749920,2.063797
2015-08,4.952752,2.063797
2015-09,5.433437,2.063797
2015-10,5.804662,2.063797
2015-11,7.467866,2.063797
2015-12,8.994232,2.063797
2016-01,11.032498,2.063797
2016-02,12.647686,2.063797
2016-03,16.907694,2.063797
2016-04,16.283473,2.063797
2016-05,12.927438,2.063797
2016-06,7.108160,2.063797
2016-07,2.100765,2.063797
2016-08,-0.817815,2.063797
2016-09,1.465322,2.063797
2016-10,1.036110,2.063797
2016-11,5.074329,2.063797
2016-12,7.305357,2.063797
2017-01,10.915334,2.063797
2017-02,12.391136,2.063797
2017-03,15.052973,2.063797
2017-04,16.280930,2.063797
2017-05,14.744545,2.063797
2017-06,9.958334,2.063797
2017-07,6.908888,2.063797
2017-08,2.956759,2.063797
2017-09,2.630853,2.063797
2017-10,5.052973,2.063797
2017-11,6.380909,2.063797
2017-12,6.545048,2.063797
2018-01,9.181740,2.063797
2018-02,11.993601,2.063797
2018-03,15.823086,2.063797
2018-04,16.642718,2.063797
2018-05,12.557559,2.063797
2018-06,10.188166,2.063797
2018-07,7.053820,2.063797
2018-08,2.870668,2.063797
2018-09,3.916077,2.063797
2018-10,5.999309,2.063797
2018-11,8.004577,2.063797
2018-12,12.634053,2.063797
2019-01,15.560649,2.063797
2019-02,16.443873,2.063797
2019-03,21.001235,2.063797
2019-04,21.073465,2.063797
2019-05,18.396541,2.063797
2019-06,14.115788,2.063797
2019-07,10.257093,2.063797
2019-08,7.969817,2.063797
2019-09,8.336713,2.063797
2019-10,9.093415,2.063797
2019-11,11.961143,2.063797
2019-12,13.700971,2.063797
2020-01,17.367969,2.063797
2020-02,17.601131,2.063797
2020-03,20.242846,2.063797
2020-04,22.407534,2.063797
2020-05,18.804856,2.063797
2020-06,15.385377,2.063797
2020-07,10.174207,2.063797
2020-08,4.525468,2.063797
2020-09,6.696783,2.063797
2020-10,9.661399,2.063797
2020-11,9.401688,2.063797
2020-12,11.989008,2.063797
2021-01,13.388252,2.063797
2021-02,17.074951,2.063797
2021-03,18.989114,2.063797
2021-04,17.803065,2.063797
2021-05,19.207869,2.063797
2021-06,16.200656,2.063797
2021-07,12.698938,2.063797
2021-08,6.724955,2.063797
2021-09,9.986121,2.063797
2021-10,10.204329,2.063797
2021-11,10.161871,2.063797
2021-12,12.922694,2.063797
2022-01,16.651686,2.063797
2022-02,18.340743,2.063797
2022-03,19.929223,2.063797
2022-04,21.114041,2.063797
2022-05,21.944852,2.063797
2022-06,17.076885,2.063797
2022-07,10.137417,2.063797
2022-08,11.229489,2.063797
2022-09,12.261311,2.063797
2022-10,11.984358,2.063797
2022-11,12.362475,2.063797
2022-12,12.308543,2.063797
2023-01,15.377728,2.063797
2023-02,19.451134,2.063797
2023-03,22.670795,2.063797
2023-04,25.825440,2.063797
2023-05,22.865452,2.063797
2023-06,19.209281,2.063797
2023-07,15.084105,2.063797
2023-08,12.949060,2.063797
2023-09,14.801270,2.063797
2023-10,17.164493,2.063797
2023-11,18.348047,2.063797
2023-12,21.867260,2.063797
2024-01,22.680271,2.063797
2024-02,27.414704,2.063797
2024-03,28.345399,2.063797
2024-04,28.430873,2.063797
2024-05,28.559314,2.063797
2024-06,23.233976,2.063797
2024-07,16.260441,2.063797
2024-08,14.306123,2.063797
2024-09,16.354061,2.063797
2024-10,16.858999,2.063797
2024-11,15.937272,2.063797
2024-12,19.554920,2.063797
2025-01,20.652203,2.063797
2025-02,25.130191,2.063797
2025-03,27.744662,2.063797
2025-04,29.978413,2.063797
2025-05,30.003319,2.063797
2025-06,25.623780,2.063797
2025-07,20.245295,2.063797
2025-08,19.647868,2.063797
2025-09,19.942003,2.063797
2025-10,21.827265,2.063797
2025-11,22.926037,2.063797
2025-12,23.586271,2.063797
2026-01,25.584528,2.063797
2026-02,28.765946,2.063797
2026-03,32.864607,2.063797
2026-04,34.406037,2.063797
2026-05,31.751134,2.063797
2026-06,28.290477,2.063797
2026-07,24.544120,2.063797
2026-08,23.656053,2.063797
